Mean,Std,Variance,Delta,Theta,Alpha,Beta,Gamma,Label
6.224838260383522e-06,3.986366016444262e-05,2.0190720572477735e-09,5.086775512929678e-10,1.252317849986049e-10,4.5015894546181256e-11,9.936527828679301e-11,5.169968196195911e-11,0
-6.238921637904752e-07,3.5152807675936106e-05,1.604471494331982e-09,1.510739097678639e-09,1.018136361283599e-10,3.81016057179277e-11,1.113378295879358e-10,7.269863440341493e-11,0
9.433752747556627e-07,4.682948011529741e-05,3.111548808103695e-09,2.225362185571803e-09,2.9022919271391497e-10,5.649391452616181e-11,1.2651987691097147e-10,9.27614168523501e-11,0
2.2001936935436324e-07,3.0960374556442884e-05,1.1840501508106754e-09,6.634073089885175e-10,1.9101030045392052e-10,4.744904036837118e-11,2.1748064100846719e-10,1.2055791466582396e-10,0
-1.8516594434078453e-07,2.485036362188444e-05,7.40658225079029e-10,3.636297457175362e-10,9.952621365956328e-11,3.020520946612796e-11,1.3498335426645837e-10,7.228049145839457e-11,0
-1.951261934215818e-07,1.9802660181067702e-05,4.094089928043019e-10,1.1816244918820256e-10,6.250273137708474e-11,2.3714993849525522e-11,8.384851028866144e-11,6.075479118882117e-11,0
5.73608176644673e-08,3.76432659777164e-05,2.0065394812317502e-09,1.3551437559459832e-09,2.36369229573378e-10,4.933942226821678e-11,7.189804591336855e-11,3.475341553972857e-11,0
2.703696477531056e-07,3.985039763481692e-05,2.1473709786941862e-09,1.4746411290379723e-09,2.287393797723725e-10,4.634479761442889e-11,9.812558478519565e-11,5.356883929936718e-11,0
-3.1349499493094977e-07,1.9680627704680854e-05,4.1401031413465706e-10,1.3037858838221463e-10,5.6333507460786605e-11,2.394710346086208e-11,8.850010939779793e-11,5.7159627581697334e-11,0
8.870171573766845e-08,2.2453787767122978e-05,6.478783027645746e-10,3.452365109778278e-10,1.3591162169380968e-10,3.32965603294294e-11,8.799969818579079e-11,4.1566470287462804e-11,0
6.018679632059129e-07,2.412107177211293e-05,6.251129072070106e-10,3.804027275773727e-10,9.50046514847719e-11,2.7982549856410585e-11,6.133258266378579e-11,2.5157347452192696e-11,0
-1.076234758087117e-06,3.612816041962863e-05,1.7443884878397083e-09,9.81656342383557e-10,2.1326640848673445e-10,4.6608646184940817e-11,8.191754796924612e-11,3.929063973462725e-11,0
5.978131839328679e-07,3.1746106400311295e-05,1.4207903537068593e-09,6.519213538180636e-10,1.1014483631071617e-10,2.8315946277273124e-11,3.6034293004460094e-11,1.6612967094296905e-11,0
1.705747494665827e-07,4.737423980439019e-05,3.147422374586431e-09,2.796661926840934e-09,2.549277972679859e-10,5.5006706667639145e-11,1.0534655417988387e-10,8.660815619839673e-11,0
-1.89535217040724e-07,2.7599480093117426e-05,8.867178500250587e-10,3.9943546209299257e-10,1.1912108965960956e-10,3.8942136616443616e-11,4.633339678713125e-11,2.0935443373322253e-11,0
-5.261329381963494e-07,3.169491070560417e-05,1.115434745895152e-09,6.594935898008062e-10,2.47457142806316e-10,7.425994812322902e-11,8.380295526967603e-11,2.4636098834312975e-11,0
5.366034919363978e-07,2.762906380572708e-05,8.936790777729678e-10,4.940993250059757e-10,1.3499789947861056e-10,4.4403538103449324e-11,5.2686664673605247e-11,2.7204051347380475e-11,0
-3.996227085839928e-08,3.0932677300510274e-05,1.3281678794627584e-09,8.496143930941379e-10,2.0772263046665e-10,5.3255423116728283e-11,5.758805338089077e-11,3.4597031516668534e-11,0
-2.201839040747072e-07,2.6564340874684594e-05,9.127166913036242e-10,6.008501167101569e-10,9.987100863676373e-11,2.81303159015833e-11,8.142591574967464e-11,7.752609825377595e-11,0
2.99480662789139e-07,2.6059493657559254e-05,8.430101135386073e-10,5.739941488331351e-10,1.2200723422223292e-10,3.015509617760398e-11,5.488149839195248e-11,2.952267196872547e-11,0
-5.945184816019587e-08,2.2192291343476403e-05,5.322222681875248e-10,1.882151141005546e-10,8.115851227047254e-11,2.5492418356586493e-11,5.291968754546902e-11,2.4179612185472262e-11,0
2.0835662027329424e-07,2.271715149795999e-05,5.950714762033742e-10,3.4283001549559405e-10,1.3292517454508973e-10,3.60696027376323e-11,4.3241521453025544e-11,2.0931566547643243e-11,0
-5.004993556913463e-07,2.6684308509730028e-05,9.059521804040267e-10,7.013888419480714e-10,2.169398158393618e-10,2.860196266103966e-11,8.247825570501058e-11,4.1586196568729345e-11,0
2.573999896298325e-07,2.7506995746320563e-05,9.204330590644773e-10,2.584015243725335e-10,1.0761330547801314e-10,2.4895192622365965e-11,5.019789773861509e-11,2.961944905066778e-11,0
-1.058803737221575e-08,2.119246844132689e-05,5.283103874566967e-10,3.4384936960051436e-10,8.546064552750069e-11,2.675461838086438e-11,4.8017780827890945e-11,2.5681873246490598e-11,0
-4.6109677199728686e-07,1.92109802562144e-05,4.0836366332535803e-10,1.9318349398713888e-10,7.362057222612366e-11,1.7504001411380545e-11,3.9655964112302006e-11,2.1550398511404174e-11,0
5.705138128874913e-07,2.230369342658533e-05,5.180465014852987e-10,2.7262895550487063e-10,7.165978759261867e-11,2.6842320452811052e-11,3.9831669573532425e-11,2.186673460428559e-11,0
-3.6220375879195333e-07,1.973897808785408e-05,4.318998646487504e-10,1.154958987820769e-10,5.3658177398480114e-11,2.3295692747078275e-11,4.771796691966994e-11,2.3055554319513535e-11,0
3.871450920028922e-07,3.968969970085999e-05,2.3300263857317996e-09,2.1576748601048114e-09,2.974811178515977e-10,6.923110290923352e-11,8.663756697490807e-11,7.256930451732429e-11,0
1.9474149703114727e-07,2.4287996350497535e-05,6.987813053164331e-10,2.9548344233220655e-10,8.003046334511371e-11,1.9728985382782748e-11,6.615575627678139e-11,3.5799195325228465e-11,0
-4.2533161173987315e-07,1.6993566521320742e-05,2.9649971725584533e-10,1.2906467020256028e-10,5.294362564733028e-11,2.1666599143093107e-11,2.9651573279907934e-11,1.373407430113734e-11,0
3.2473110182940513e-07,2.5180868615871944e-05,8.142032683501266e-10,3.052583684196896e-10,8.488025506674023e-11,2.8571425843642915e-11,3.927054533351534e-11,1.90919664016978e-11,0
-3.8430183691243655e-07,1.7822574970209637e-05,3.2577334752827446e-10,1.483984945438704e-10,6.60265222701437e-11,2.5609934176822458e-11,3.414423432674271e-11,1.7577653117198195e-11,0
-3.599802427760018e-07,3.618754343918702e-05,2.155100387709111e-09,1.9914506892273585e-09,2.2182757516699264e-10,4.752699431997354e-11,7.07253871914065e-11,4.1260811562776024e-11,0
-5.926592952658533e-07,4.0771597366029526e-05,2.572410060050704e-09,1.3987654189432474e-09,2.2290795566749564e-10,4.440995751202938e-11,1.2455407846378956e-10,8.09352147154191e-11,0
1.4598957377567453e-06,2.0362061118622698e-05,4.4966331200472535e-10,1.3238159352390554e-10,6.606656111456692e-11,2.3180750308896636e-11,8.872059671284237e-11,5.523967551540191e-11,0
