Notebook,Exists,Size_KB
01_Reading_EEG.ipynb,True,1.99
02_Understanding_EEG.ipynb,True,864.39
03_Preprocessing.ipynb,True,463.6
04_Windowing.ipynb,True,23.1
05_Labeling.ipynb,True,25.22
06_Feature_Extraction.ipynb,True,13.72
07_Model_Training.ipynb,True,48.95
08_Dataset_Builder.ipynb,True,22.43
09_Model_Evaluation.ipynb,True,84.49
10_Prediction.ipynb,True,15.2
11_Recording_Wise_Evaluation.ipynb,True,34.81
12_Seizure_Event_Level_Evaluation.ipynb,True,55.69
13_Robustness_Cross_Validation.ipynb,True,97.04
14_Final_Integrated_Evaluation.ipynb,True,143.35
15_Final_Temporal_Event_Evaluation.ipynb,True,33.36
16_Threshold_Optimization.ipynb,True,134.16
17_Leakage_Free_Final_Experiment.ipynb,True,104.88
18_Final_Figures.ipynb,True,197.13
19._Final_Technical_Audit.ipynb,True,16.94
20_Multi_Patient_Dataset_Builder.ipynb,True,25.5
21_CHB02_Cross_Patient_Test.ipynb,True,1258.27
22_CHB03_Cross_Patient_Test.ipynb,True,430.0
